DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,CALI,CALI[DERIVED]1,DEVI,DFL,DT,FACIES,FLD1,GR,HDRS,HMRS,DEPTH_1,NPHI,PEF,PERF_INT,PERMEABILITY,PIGN,PIGN_MODELLING,PIMP,RHOB,LLD,RT_MODELLING,RT_POWER,SP,SUWI,SUWI_MODELLING,SXWI,TDVSS,VCL,WATER_VOL,ZLT
1559.372,2769.7493,2772979.0,nan,8.7469,8.7469,1.4247,20.704,150.9414,3.0,nan,36.4016,15.2706,15.7437,1559.3719,0.987,1.6699,nan,0.0064,0.0001,0.01,9097.7002,1.3716,16.5862,16.5862,275.1013,-197.9276,1.0,1.0,1.0,-1472.002,0.001,0.0001,19.0
1559.396,2761.0596,2761059.5,nan,8.7473,8.7473,1.4295,21.1342,150.9773,3.0,nan,36.4775,15.5558,16.0668,1559.396,0.9826,1.6518,nan,0.0062,0.0001,0.01,9058.5938,1.3676,16.7992,16.7992,282.4556,-197.9272,1.0,1.0,1.0,-1472.026,0.001,0.0001,19.0
1559.5244,2717.2756,2720661.25,nan,8.7491,8.7491,1.4529,23.4359,151.0228,3.0,nan,36.8836,17.0815,17.7958,1559.5244,0.9589,1.5934,nan,0.0055,0.0001,0.01,8926.0537,1.3464,17.9388,17.9388,321.8009,-197.9211,1.0,1.0,1.0,-1472.1544,0.001,0.0001,19.0
1559.5485,2713.0786,2713078.75,nan,8.7492,8.7492,1.4573,23.7892,151.0313,3.0,nan,37.1459,17.2675,18.0203,1559.5485,0.953,1.5824,nan,0.0053,0.0001,0.01,8901.1768,1.3444,18.0168,18.0168,324.6376,-197.92,1.0,1.0,1.0,-1472.1785,0.001,0.0001,19.0
1559.6768,2692.8291,2697778.0,nan,8.7499,8.7499,1.4771,25.6696,150.9597,3.0,nan,38.5428,18.2581,19.215,1559.6768,0.9212,1.5662,nan,0.0046,0.0001,0.01,8850.9775,1.3337,18.432,18.432,339.7394,-197.9201,1.0,1.0,1.0,-1472.3068,0.001,0.0001,19.0
1559.7008,2694.9158,2694915.75,nan,8.75,8.75,1.4808,25.6725,150.9463,3.0,nan,38.8745,18.2892,19.2637,1559.7008,0.9163,1.5632,nan,0.0044,0.0001,0.01,8841.5869,1.3346,18.4095,18.4095,338.9111,-197.9201,1.0,1.0,1.0,-1472.3308,0.001,0.0001,19.0
1559.8292,2702.6682,2707298.25,nan,8.7503,8.7503,1.5017,25.6882,151.0654,3.0,nan,40.6492,18.4556,19.5243,1559.8292,0.8903,1.6098,nan,0.0036,0.0001,0.01,8882.2119,1.3395,18.2888,18.2888,334.4798,-197.9286,1.0,1.0,1.0,-1472.4592,0.001,0.0001,19.0
1559.8533,2709.6221,2709622.25,nan,8.7505,8.7505,1.5056,25.5136,151.0877,3.0,nan,40.8986,18.4221,19.4904,1559.8533,0.8935,1.6185,nan,0.0035,0.0001,0.01,8889.8369,1.3431,18.2041,18.2041,331.4268,-197.9302,1.0,1.0,1.0,-1472.4833,0.001,0.0001,19.0
1559.9816,2742.9839,2748400.75,nan,8.7516,8.7516,1.5262,24.5841,151.4064,3.0,nan,42.2269,18.2441,19.31,1559.9816,0.9109,1.7304,nan,0.0027,0.0001,0.01,9017.0635,1.3626,17.7531,17.7531,315.174,-197.9322,1.0,1.0,1.0,-1472.6116,0.001,0.0001,19.0
1560.0056,2755.6548,2755654.75,nan,8.7513,8.7513,1.53,24.4555,151.466,3.0,nan,42.5242,18.1466,19.2118,1560.0056,0.9133,1.7513,nan,0.0026,0.0001,0.01,9040.8623,1.3694,17.5576,17.5576,308.4732,-197.9326,1.0,1.0,1.0,-1472.6356,0.0019,0.0001,19.0
