DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,CALI,CALI[DERIVED]1,DFL,DT,FACIES,FLD1,GR,HDRS,HMRS,DEPTH_1,NPHI,ONE-WAYTIME1,PERF_INT,PERMEABILITY,PIGN,PIGN_MODELLING,PIMP,RHOB,RT_MODELLING,RT_POWER,SP,SUWI,SUWI_MODELLING,TDVSS,VCL,WATER_VOL,ZLT
1379.582,5844.8306,5844830.5,nan,9.2938,9.2938,1.9566,122.0315,0.0,nan,71.941,1.7611,1.7809,1379.582,0.4644,-627.7575,nan,41.7269,0.264,0.264,19175.9531,2.3401,1.9566,3.8281,255.0164,1.0,1.0,-1301.092,25.498,0.264,1.0
1379.7344,5766.4136,5766413.5,nan,9.2681,9.2681,2.2087,123.6355,0.0,nan,71.833,1.8193,1.8375,1379.7344,0.4749,-627.831,nan,35.2252,0.2563,0.2563,18918.6797,2.339,2.2087,4.8783,252.8689,1.0,1.0,-1301.2444,28.97,0.2563,1.0
1379.8868,5701.918,5701918.0,nan,9.2307,9.2307,2.3564,124.9115,0.0,nan,70.9418,1.881,1.8716,1379.8868,0.4919,-627.9045,nan,25.5714,0.2409,0.2409,18707.0801,2.3367,2.3564,5.5527,252.326,1.0,1.0,-1301.3967,34.491,0.2409,1.0
1380.0392,5721.4243,5721424.5,nan,9.2076,9.2076,2.4522,124.5629,0.0,nan,70.1389,1.9171,1.8858,1380.0392,0.5118,-627.9781,nan,19.2517,0.2308,0.2308,18771.0781,2.3382,2.4522,6.0135,252.8675,1.0,1.0,-1301.5492,38.893,0.2308,1.0
1380.1916,5815.1851,5815185.0,nan,9.194,9.194,2.4878,122.6746,0.0,nan,70.4335,1.8877,1.8549,1380.1915,0.531,-628.0516,nan,16.3402,0.2297,0.2297,19078.6914,2.3405,2.4878,6.189,254.1676,1.0,1.0,-1301.7015,41.148,0.2297,1.0
1380.344,5897.5088,5897509.0,nan,9.189,9.189,2.4008,120.9818,0.0,nan,71.4609,1.8356,1.7988,1380.344,0.548,-628.1251,nan,14.9632,0.2336,0.2336,19348.7812,2.3409,2.4008,5.7637,256.3852,1.0,1.0,-1301.854,41.774,0.2336,1.0
1380.4964,5895.6523,5895652.5,nan,9.1852,9.1852,2.2985,120.9527,0.0,nan,72.0051,1.7822,1.7513,1380.4963,0.5591,-628.1987,nan,15.328,0.243,0.243,19342.6914,2.3396,2.2985,5.2832,258.5842,1.0,1.0,-1302.0063,40.88,0.243,1.0
1380.6488,5828.5376,5828537.5,nan,9.1891,9.1891,2.1781,121.8674,0.0,nan,72.2401,1.711,1.7103,1380.6488,0.5641,-628.2722,nan,16.1831,0.2515,0.2515,19122.5,2.3304,2.1781,4.7442,260.4153,1.0,1.0,-1302.1588,40.266,0.2515,1.0
1380.8012,5758.3916,5758391.5,nan,9.2129,9.2129,2.0842,122.7433,0.0,nan,73.0289,1.633,1.6816,1380.8011,0.569,-628.3458,nan,16.1358,0.256,0.256,18892.3613,2.3189,2.0842,4.344,262.1414,1.0,1.0,-1302.3112,41.22,0.256,1.0
1380.9536,5662.3604,5662360.5,nan,9.3001,9.3001,1.9921,124.1951,0.0,nan,73.979,1.5801,1.6525,1380.9536,0.5807,-628.4193,nan,14.1589,0.2562,0.2562,18577.2988,2.3072,1.9921,3.9683,263.4095,0.9927,0.9927,-1302.4636,43.785,0.2544,1.0
1381.106,5527.8896,5527890.0,nan,9.4731,9.4731,1.8902,126.7482,0.0,nan,74.5629,1.5747,1.6092,1381.106,0.6002,-628.4928,nan,10.9701,0.2547,0.2547,18136.1211,2.2987,1.8902,3.5727,264.4675,0.9857,0.9857,-1302.616,46.884,0.251,1.0
1381.2584,5400.2241,5400224.0,nan,9.6272,9.6272,1.8369,129.5182,0.0,nan,74.4884,1.5383,1.5517,1381.2584,0.6212,-628.5663,nan,8.695,0.2579,0.2579,17717.2715,2.2947,1.8369,3.3743,265.8708,0.9963,0.9963,-1302.7684,48.465,0.2569,1.0
1381.4108,5285.126,5285126.0,nan,9.7079,9.7079,1.7351,131.9433,0.0,nan,72.7511,1.3961,1.4255,1381.4108,0.6342,-628.6398,nan,8.3192,0.2691,0.2691,17339.6523,2.2879,1.7351,3.0107,267.3362,0.9998,0.9998,-1302.9208,47.438,0.2691,1.0
1381.5632,5202.7983,5202798.0,nan,9.7549,9.7549,1.552,133.3357,0.0,nan,69.8173,1.2341,1.2608,1381.5632,0.6349,-628.7134,nan,10.2179,0.2882,0.2882,17069.5469,2.276,1.552,2.4088,268.9386,1.0,1.0,-1303.0732,43.735,0.2882,1.0
1381.7156,5195.6406,5195640.5,nan,9.7655,9.7655,1.3488,132.1507,0.0,nan,67.5346,1.1354,1.1472,1381.7156,0.6235,-628.7869,nan,13.9122,0.3051,0.3051,17046.0645,2.2526,1.3488,1.8194,270.8487,1.0,1.0,-1303.2256,39.671,0.3051,1.0
1381.868,5251.791,5251791.0,nan,9.7397,9.7397,1.2066,129.7088,0.0,nan,66.5471,1.0541,1.0589,1381.868,0.6081,-628.8605,nan,17.6376,0.3103,0.3103,17230.2871,2.2349,1.2066,1.4558,272.2814,1.0,1.0,-1303.3779,37.543,0.3103,1.0
1382.0204,5274.5347,5274534.5,nan,9.7153,9.7153,1.0954,129.4893,0.0,nan,66.4159,0.9682,0.9811,1382.0204,0.5954,-628.934,nan,7.1124,0.2195,0.2195,17304.9023,2.2408,1.0954,1.1998,273.0548,1.0,1.0,-1303.5304,48.009,0.2195,2.0
1382.1728,5184.9795,5184979.5,nan,9.6862,9.6862,1.0331,132.4154,0.0,nan,67.0005,0.9192,0.9404,1382.1727,0.5896,-629.0075,nan,0.1042,0.0529,0.0529,17011.0879,2.2525,1.0331,1.0673,273.5307,1.0,1.0,-1303.6827,68.722,0.0529,2.0
1382.3252,5060.0591,5060059.0,nan,9.6456,9.6456,1.0221,135.9037,0.0,nan,68.7614,0.9139,0.9378,1382.3252,0.5934,-629.0811,nan,0.0102,0.0247,0.0247,16601.2441,2.2562,1.0221,1.0447,273.222,1.0,1.0,-1303.8352,72.833,0.0247,2.0
1382.4776,4981.4619,4981462.0,nan,9.5899,9.5899,1.0419,137.7793,0.0,nan,71.2443,0.9283,0.9582,1382.4775,0.5995,-629.1546,nan,0.0096,0.0248,0.0248,16343.3789,2.2518,1.0419,1.0856,272.5186,1.0,1.0,-1303.9875,72.669,0.0248,2.0
1382.63,4962.9072,4962907.0,nan,9.4873,9.4873,1.0655,137.8338,0.0,nan,74.0399,0.9566,0.9931,1382.63,0.5979,-629.2281,nan,0.0121,0.0268,0.0268,16282.5039,2.2443,1.0655,1.1352,272.1221,1.0,1.0,-1304.14,70.475,0.0268,2.0
