DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,CALI,CALI[DERIVED]1,DFL,DT,FACIES,FLD1,GR,HDRS,HMRS,DEPTH_1,NPHI,PERF_INT,PERMEABILITY,PHIT,PIGN,PIGN_MODELLING,PIMP,RHOB,LLD,RT_MODELLING,RT_POWER,SP,SUWI,SUWI_MODELLING,SXWI,TDVSS,VCL,WATER_VOL,ZLT
1220.5156,4041.8389,4041839.0,nan,9.2869,9.2869,1.1893,165.2011,0.0,nan,51.3272,1.0081,1.0399,1220.5156,0.5101,nan,nan,0.2364,0.1037,0.1037,13260.626,2.1907,1.0094,1.0094,1.0189,84.9457,1.0,1.0,1.0,-1153.7855,66.569,0.1037,nan
1220.668,4443.7407,4443740.5,nan,9.7808,9.7808,1.5304,152.4,0.0,nan,49.6714,1.1078,1.1423,1220.668,0.5044,nan,nan,0.2212,0.1065,0.1065,14579.2012,2.2219,1.1068,1.1068,1.225,85.0476,1.0,1.0,1.0,-1153.938,65.672,0.1065,nan
1220.8204,4441.5806,4441580.5,nan,10.3597,10.3597,1.8476,152.4,0.0,nan,49.5004,1.0975,1.1232,1220.8203,0.5087,nan,nan,0.2158,0.1036,0.1036,14572.1143,2.2208,1.0946,1.0946,1.1981,85.084,1.0,1.0,1.0,-1154.0903,66.631,0.1036,nan
1220.9728,4389.2798,4389280.0,nan,10.6881,10.6881,1.7243,152.4,0.0,nan,51.1405,0.9929,1.003,1220.9728,0.515,nan,nan,0.2243,0.0994,0.0994,14400.5254,2.1946,0.9918,0.9918,0.9836,85.2661,1.0,1.0,1.0,-1154.2428,67.971,0.0994,nan
1221.1252,4312.9004,4312900.0,nan,10.7559,10.7559,1.3126,152.4,0.0,nan,53.9304,0.8949,0.8986,1221.1251,0.5211,nan,nan,0.2418,0.0951,0.0951,14149.9355,2.1565,0.8958,0.8958,0.8024,85.4465,1.0,1.0,1.0,-1154.3951,69.359,0.0951,nan
1221.2776,4242.8398,4242840.0,nan,10.7605,10.7605,1.0566,152.4,0.0,nan,57.2077,0.849,0.8557,1221.2776,0.5288,nan,nan,0.2531,0.0816,0.0816,13920.0791,2.1214,0.85,0.85,0.7226,85.644,1.0,1.0,1.0,-1154.5476,72.219,0.0816,nan
1221.43,4194.0,4194000.0,nan,10.7387,10.7387,1.0184,152.4,0.0,nan,60.4039,0.8376,0.85,1221.4299,0.5422,nan,nan,0.2533,0.0621,0.0621,13759.8428,2.097,0.838,0.838,0.7022,85.6245,1.0,1.0,1.0,-1154.7,76.998,0.0621,nan
1221.5824,4169.6602,4169660.25,nan,10.6452,10.6452,1.0564,152.4,0.0,nan,61.6711,0.8412,0.8565,1221.5824,0.5598,nan,nan,0.2522,0.0515,0.0515,13679.9873,2.0848,0.8414,0.8414,0.708,85.5852,1.0,1.0,1.0,-1154.8524,80.928,0.0515,nan
1221.7348,4167.1401,4167140.25,nan,10.5061,10.5061,1.0811,152.4,0.0,nan,61.4085,0.8502,0.8643,1221.7347,0.5784,nan,nan,0.2507,0.047,0.047,13671.7197,2.0836,0.8502,0.8502,0.7229,85.5986,1.0,1.0,1.0,-1155.0048,84.06,0.047,nan
1221.8872,4166.6807,4166680.5,nan,10.3787,10.3787,1.0778,152.4,0.0,nan,61.1972,0.8568,0.868,1221.8872,0.593,nan,nan,0.2486,0.0408,0.0408,13670.2119,2.0833,0.8567,0.8567,0.734,85.4581,1.0,1.0,1.0,-1155.1572,86.813,0.0408,nan
1222.0396,4164.04,4164040.25,nan,10.2599,10.2599,1.0804,152.4,0.0,nan,60.5658,0.8607,0.8688,1222.0396,0.5987,nan,nan,0.2477,0.0381,0.0381,13661.5498,2.082,0.8607,0.8607,0.7408,85.2183,1.0,1.0,1.0,-1155.3096,87.722,0.0381,nan
1222.192,4159.6206,4159620.5,nan,10.1858,10.1858,1.0957,152.4,0.0,nan,59.7057,0.8673,0.8734,1222.192,0.595,nan,nan,0.2492,0.0421,0.0421,13647.0488,2.0798,0.8673,0.8673,0.7523,85.0365,1.0,1.0,1.0,-1155.4619,86.448,0.0421,nan
1222.3444,4151.3403,4151340.25,nan,10.2401,10.2401,1.1031,152.4,0.0,nan,59.6467,0.8807,0.8865,1222.3444,0.5827,nan,nan,0.2533,0.051,0.051,13619.8828,2.0757,0.8809,0.8809,0.7759,85.239,1.0,1.0,1.0,-1155.6144,83.551,0.051,nan
1222.4968,4143.98,4143980.25,nan,10.4215,10.4215,1.1146,152.4,0.0,nan,60.1157,0.9001,0.9063,1222.4968,0.5654,nan,nan,0.2564,0.058,0.058,13595.7354,2.072,0.9002,0.9002,0.8103,85.6956,1.0,1.0,1.0,-1155.7667,80.308,0.058,nan
1222.6492,4153.0601,4153060.25,nan,10.5705,10.5705,1.1569,152.4,0.0,nan,60.9105,0.916,0.9226,1222.6492,0.5492,nan,nan,0.2526,0.0563,0.0563,13625.5254,2.0765,0.9158,0.9158,0.8388,86.1965,1.0,1.0,1.0,-1155.9192,78.55,0.0563,nan
